time,open,high,low,close,volume
2022-02-01,38721.49,39796.00291720916,37448.81544600372,38715.78354588765,1748523485.8838806
2022-02-02,38715.78354588765,39790.139846043894,37443.303866428265,38710.08436125641,1748290683.5105247
2022-02-03,38710.08436125641,39784.28424387501,37437.79930808225,38704.392436845665,1748058177.7053146
2022-02-04,38704.392436845665,39778.43610118771,37432.30176202129,38698.70776340656,1747825968.0904427
2022-02-05,38698.70776340656,39772.59540847932,37426.81121931241,38693.03033170206,1747594054.2885818
2022-02-06,38693.03033170206,39766.762156259276,37421.327671034,38687.360132506874,1747362435.9229012
2022-02-07,38687.360132506874,39760.936335049104,37415.85110827582,38681.697156607486,1747131112.6170425
2022-02-08,38681.697156607486,39755.11793538241,37410.38152213898,38676.041394802094,1746900083.9951363
2022-02-09,38676.041394802094,39749.30694780485,37404.91890373593,38670.39283790061,1746669349.6817703
2022-02-10,38670.39283790061,39743.50336287409,37399.463244190425,38664.75147672469,1746438909.302021
2022-02-11,38664.75147672469,39737.70717115991,37394.01453463755,38659.11730210767,1746208762.4814606
2022-02-12,38659.11730210767,39731.91836324404,37388.57276622369,38653.490304894534,1745978908.8461037
2022-02-13,38653.490304894534,39726.1369297202,37383.13793010646,38647.87047594196,1745749348.0224762
2022-02-14,38647.87047594196,39720.36286119414,37377.710017454796,38642.25780611827,1745520079.6375542
2022-02-15,38642.25780611827,39714.596148283534,37372.28901944886,38636.652286303404,1745291103.318798
2022-02-16,38636.652286303404,39708.83678161803,37366.87492728002,38631.05390738894,1745062418.6941528
2022-02-17,38631.05390738894,39703.084751839226,37361.46773215094,38625.46266027803,1744834025.3920212
2022-02-18,38625.46266027803,39697.3400496006,37356.067425275396,38619.878535885444,1744605923.0412903
2022-02-19,38619.878535885444,39691.60266556757,37350.673997878446,38614.30152513752,1744378111.271309
2022-02-20,38614.30152513752,39685.872590417435,37345.28744119627,38608.731618972146,1744150589.7119064
2022-02-21,38608.731618972146,39680.14981483938,37339.90774647624,38603.16880833875,1743923357.9933853
2022-02-22,38603.16880833875,39674.43432953443,37334.534904976856,38597.61308419831,1743696415.7465057
2022-02-23,38597.61308419831,39668.726125215486,37329.168907967774,38592.064437523295,1743469762.6025238
2022-02-24,38592.064437523295,39663.025192607245,37323.80974672975,38586.5228592977,1743243398.1931458
2022-02-25,38586.5228592977,39657.33152244625,37318.45741255468,38580.988340516975,1743017322.1505394
2022-02-26,38580.988340516975,39651.64510548083,37313.11189674551,38575.460872188065,1742791534.1073685
2022-02-27,38575.460872188065,39645.96593247109,37307.77319061631,38569.94044532936,1742566033.6967392
2022-02-28,38569.94044532936,39640.29399418893,37302.44128549217,38564.42705097069,1742340820.5522423
