Date,Open,Volume,Predicted Close,Actual Close
2022-02-01 00:00:00,38481.765625,20288500328.0,38496.625106434134,38743.2734375
2022-02-02 00:00:00,38743.71484375,19155189416.0,38759.32109843903,36952.984375
2022-02-03 00:00:00,36944.8046875,18591534769.0,36961.920276789955,37154.6015625
2022-02-04 00:00:00,37149.265625,29412210792.0,37157.65530515302,41500.875
2022-02-05 00:00:00,41501.48046875,19652846215.0,41515.06429777402,41441.1640625
2022-02-06 00:00:00,41441.12109375,16142097334.0,41457.53250243778,42412.43359375
2022-02-07 00:00:00,42406.78125,28641855926.0,42412.682443204685,43840.28515625
2022-02-08 00:00:00,43854.65234375,33079398868.0,43856.17049213477,44118.4453125
2022-02-09 00:00:00,44096.703125,23245887300.0,44105.89875177566,44338.796875
2022-02-10 00:00:00,44347.80078125,32142048537.0,44349.7734903426,43565.11328125
2022-02-11 00:00:00,43571.12890625,26954925781.0,43577.684870979734,42407.9375
2022-02-12 00:00:00,42412.30078125,18152390304.0,42426.54062733948,42244.46875
2022-02-13 00:00:00,42236.56640625,14741589015.0,42253.622400604974,42197.515625
2022-02-14 00:00:00,42157.3984375,20827783012.0,42169.66098954463,42586.91796875
2022-02-15 00:00:00,42586.46484375,22721659051.0,42596.96817878689,44575.203125
2022-02-16 00:00:00,44578.27734375,19792547657.0,44589.935237360434,43961.859375
2022-02-17 00:00:00,43937.0703125,26246662813.0,43943.97368522789,40538.01171875
2022-02-18 00:00:00,40552.1328125,23310007704.0,40563.36819643229,40030.9765625
2022-02-19 00:00:00,40026.0234375,13736557863.0,40045.18257778032,40122.15625
2022-02-20 00:00:00,40118.1015625,18340576452.0,40133.54497442747,38431.37890625
2022-02-21 00:00:00,38423.2109375,29280402798.0,38430.954008698565,37075.28125
2022-02-22 00:00:00,37068.76953125,25493150450.0,37080.323384582895,38286.02734375
2022-02-23 00:00:00,38285.28125,21849073843.0,38299.01555687265,37296.5703125
2022-02-24 00:00:00,37278.56640625,46383802093.0,37273.38290037215,38332.609375
2022-02-25 00:00:00,38333.74609375,26545599159.0,38343.71682998563,39214.21875
2022-02-26 00:00:00,39213.08203125,17467554129.0,39229.75354954584,39105.1484375
2022-02-27 00:00:00,39098.69921875,23450127612.0,39110.68047186741,37709.78515625
2022-02-28 00:00:00,37706.0,35690014104.0,37709.06877327038,43193.234375
2022-03-01 00:00:00,43194.50390625,32479047645.0,43196.88887894033,44354.63671875
2022-03-02 00:00:00,44357.6171875,29183112630.0,44361.93724562859,43924.1171875
2022-03-03 00:00:00,43925.1953125,24967782593.0,43933.12273877344,42451.7890625
2022-03-04 00:00:00,42458.140625,28516271427.0,42464.11139709398,39137.60546875
2022-03-05 00:00:00,39148.44921875,16975917450.0,39165.54984205446,39400.5859375
2022-03-06 00:00:00,39404.19921875,19745229902.0,39418.94665075402,38419.984375
2022-03-07 00:00:00,38429.3046875,28546143503.0,38437.62809530154,38062.0390625
2022-03-08 00:00:00,38059.90234375,25776583476.0,38070.64617709679,38737.26953125
2022-03-09 00:00:00,38742.81640625,32284121034.0,38747.982206470406,41982.92578125
2022-03-10 00:00:00,41974.0703125,31078064711.0,41978.2893059975,39437.4609375
2022-03-11 00:00:00,39439.96875,26364890465.0,39449.43069681694,38794.97265625
2022-03-12 00:00:00,38794.46484375,14616450657.0,38813.650665436115,38904.01171875
2022-03-13 00:00:00,38884.7265625,17300745310.0,38901.72441716214,37849.6640625
2022-03-14 00:00:00,37846.31640625,24322159070.0,37858.34287569918,39666.75390625
2022-03-15 00:00:00,39664.25,23934000868.0,39675.51285773284,39338.78515625
2022-03-16 00:00:00,39335.5703125,39616916192.0,39334.554961408285,41143.9296875
2022-03-17 00:00:00,41140.84375,22009601093.0,41152.76605358123,40951.37890625
2022-03-18 00:00:00,40944.83984375,34421564942.0,40947.00695462714,41801.15625
