time,open,high,low,close,volume
2022-02-01,38721.49,39798.09733665945,37440.546636072715,38713.197634297074,1762013244.6287487
2022-02-02,38713.197634297074,39789.57783930018,37432.53629178615,38704.9155989219,1761677789.7932193
2022-02-03,38704.9155989219,39781.06895522103,37424.535926495315,38696.64388100534,1761342752.8551319
2022-02-04,38696.64388100534,39772.57067120035,37416.54552776873,38688.382467694246,1761008133.2938793
2022-02-05,38688.382467694246,39764.082974032965,37408.56508319039,38680.131346151524,1760673930.5895183
2022-02-06,38680.131346151524,39755.60585053015,37400.5945803598,38671.890503556075,1760340144.2227275
2022-02-07,38671.890503556075,39747.13928751963,37392.63400689188,38663.65992710275,1760006773.6748722
2022-02-08,38663.65992710275,39738.683271845526,37384.683350417006,38655.43960400237,1759673818.4279163
2022-02-09,38655.43960400237,39730.23779036835,37376.74259858094,38647.229521481684,1759341277.964503
2022-02-10,38647.229521481684,39721.80282996499,37368.811739044846,38639.02966678333,1759009151.7679164
2022-02-11,38639.02966678333,39713.37837752866,37360.890759485235,38630.840027165876,1758677439.32207
2022-02-12,38630.840027165876,39704.964419968914,37352.979647594024,38622.66058990374,1758346140.111529
2022-02-13,38622.66058990374,39696.560944211626,37345.07839107841,38614.49134228719,1758015253.621497
2022-02-14,38614.49134228719,39688.167937198945,37337.186977660924,38606.33227162236,1757684779.3378284
2022-02-15,38606.33227162236,39679.78538588931,37329.30539507941,38598.18336523116,1757354716.747012
2022-02-16,38598.18336523116,39671.41327725735,37321.43363108697,38590.04461045131,1757025065.3361614
2022-02-17,38590.04461045131,39663.05159829399,37313.57167345194,38581.91599463631,1756695824.5930698
2022-02-18,38581.91599463631,39654.70033600632,37305.71950995794,38573.79750515538,1756366994.0061214
2022-02-19,38573.79750515538,39646.3594774176,37297.877128403765,38565.68912939352,1756038573.0643604
2022-02-20,38565.68912939352,39638.029009567304,37290.04451660343,38557.59085475143,1755710561.2574794
2022-02-21,38557.59085475143,39629.708919511024,37282.22166238616,38549.50266864548,1755382958.0757701
2022-02-22,38549.50266864548,39621.399194320475,37274.40855359628,38541.42455850776,1755055763.0102031
2022-02-23,38541.42455850776,39613.09982108348,37266.605178093305,38533.356511786,1754728975.552348
2022-02-24,38533.356511786,39604.81078690398,37258.811523751865,38525.298515943534,1754402595.1944377
2022-02-25,38525.298515943534,39596.53207890192,37251.02757846167,38517.25055845936,1754076621.4293125
2022-02-26,38517.25055845936,39588.26368421332,37243.253330127554,38509.212626828055,1753751053.7504375
